"Year","Province","Normalization","Measure","Value"
2015,"British Columbia","Total ($ M)","Expenditure",38373
2016,"British Columbia","Total ($ M)","Expenditure",40546
2017,"British Columbia","Total ($ M)","Expenditure",43351
2018,"British Columbia","Total ($ M)","Expenditure",45716
2019,"British Columbia","Total ($ M)","Expenditure",48754
2020,"British Columbia","Total ($ M)","Expenditure",75317
2021,"British Columbia","Total ($ M)","Expenditure",66726
2022,"British Columbia","Total ($ M)","Expenditure",60278
1961,"Manitoba","Total ($ M)","Expenditure",376
1962,"Manitoba","Total ($ M)","Expenditure",388
1963,"Manitoba","Total ($ M)","Expenditure",385
1964,"Manitoba","Total ($ M)","Expenditure",409
1965,"Manitoba","Total ($ M)","Expenditure",435
1966,"Manitoba","Total ($ M)","Expenditure",503
1967,"Manitoba","Total ($ M)","Expenditure",555
1968,"Manitoba","Total ($ M)","Expenditure",600
1969,"Manitoba","Total ($ M)","Expenditure",646
1970,"Manitoba","Total ($ M)","Expenditure",739
1971,"Manitoba","Total ($ M)","Expenditure",856
1972,"Manitoba","Total ($ M)","Expenditure",957
1973,"Manitoba","Total ($ M)","Expenditure",1079
1974,"Manitoba","Total ($ M)","Expenditure",1276
1975,"Manitoba","Total ($ M)","Expenditure",1557
1976,"Manitoba","Total ($ M)","Expenditure",1759
1977,"Manitoba","Total ($ M)","Expenditure",2046
1978,"Manitoba","Total ($ M)","Expenditure",2309
1979,"Manitoba","Total ($ M)","Expenditure",2627
1980,"Manitoba","Total ($ M)","Expenditure",2965
1981,"Manitoba","Total ($ M)","Expenditure",3328
1982,"Manitoba","Total ($ M)","Expenditure",3902
1983,"Manitoba","Total ($ M)","Expenditure",4269
1984,"Manitoba","Total ($ M)","Expenditure",4825
1985,"Manitoba","Total ($ M)","Expenditure",5434
1986,"Manitoba","Total ($ M)","Expenditure",5771
1987,"Manitoba","Total ($ M)","Expenditure",6268
1988,"Manitoba","Total ($ M)","Expenditure",6800
1989,"Manitoba","Total ($ M)","Expenditure",7096
1990,"Manitoba","Total ($ M)","Expenditure",7543
1991,"Manitoba","Total ($ M)","Expenditure",8214
1992,"Manitoba","Total ($ M)","Expenditure",8105
1993,"Manitoba","Total ($ M)","Expenditure",8180
1994,"Manitoba","Total ($ M)","Expenditure",8535
1995,"Manitoba","Total ($ M)","Expenditure",8889
1996,"Manitoba","Total ($ M)","Expenditure",8686
1997,"Manitoba","Total ($ M)","Expenditure",8570
1998,"Manitoba","Total ($ M)","Expenditure",8525
1999,"Manitoba","Total ($ M)","Expenditure",9107
2000,"Manitoba","Total ($ M)","Expenditure",9523
2001,"Manitoba","Total ($ M)","Expenditure",9702
2002,"Manitoba","Total ($ M)","Expenditure",9711
2003,"Manitoba","Total ($ M)","Expenditure",10471
2004,"Manitoba","Total ($ M)","Expenditure",10385
2005,"Manitoba","Total ($ M)","Expenditure",11714
2006,"Manitoba","Total ($ M)","Expenditure",11651
2007,"Manitoba","Total ($ M)","Expenditure",12228
2008,"Manitoba","Total ($ M)","Expenditure",12901
2009,"Manitoba","Total ($ M)","Expenditure",13234
2010,"Manitoba","Total ($ M)","Expenditure",13655
2011,"Manitoba","Total ($ M)","Expenditure",13807
2012,"Manitoba","Total ($ M)","Expenditure",13773
2013,"Manitoba","Total ($ M)","Expenditure",13910
2014,"Manitoba","Total ($ M)","Expenditure",13898
2015,"Manitoba","Total ($ M)","Expenditure",14349
2016,"Manitoba","Total ($ M)","Expenditure",14991
2017,"Manitoba","Total ($ M)","Expenditure",16167
2018,"Manitoba","Total ($ M)","Expenditure",16616
2019,"Manitoba","Total ($ M)","Expenditure",18495
2020,"Manitoba","Total ($ M)","Expenditure",25739
2021,"Manitoba","Total ($ M)","Expenditure",24905
2022,"Manitoba","Total ($ M)","Expenditure",23635
1961,"New Brunswick","Total ($ M)","Expenditure",258
1962,"New Brunswick","Total ($ M)","Expenditure",266
1963,"New Brunswick","Total ($ M)","Expenditure",274
1964,"New Brunswick","Total ($ M)","Expenditure",293
1965,"New Brunswick","Total ($ M)","Expenditure",324
1966,"New Brunswick","Total ($ M)","Expenditure",359
1967,"New Brunswick","Total ($ M)","Expenditure",419
1968,"New Brunswick","Total ($ M)","Expenditure",451
1969,"New Brunswick","Total ($ M)","Expenditure",496
1970,"New Brunswick","Total ($ M)","Expenditure",539
1971,"New Brunswick","Total ($ M)","Expenditure",638
1972,"New Brunswick","Total ($ M)","Expenditure",735
1973,"New Brunswick","Total ($ M)","Expenditure",836
1974,"New Brunswick","Total ($ M)","Expenditure",1131
1975,"New Brunswick","Total ($ M)","Expenditure",1504
1976,"New Brunswick","Total ($ M)","Expenditure",1664
1977,"New Brunswick","Total ($ M)","Expenditure",1874
1978,"New Brunswick","Total ($ M)","Expenditure",2086
1979,"New Brunswick","Total ($ M)","Expenditure",2332
1980,"New Brunswick","Total ($ M)","Expenditure",3184
1981,"New Brunswick","Total ($ M)","Expenditure",3552
1982,"New Brunswick","Total ($ M)","Expenditure",3659
1983,"New Brunswick","Total ($ M)","Expenditure",3533
1984,"New Brunswick","Total ($ M)","Expenditure",3923
1985,"New Brunswick","Total ($ M)","Expenditure",4312
1986,"New Brunswick","Total ($ M)","Expenditure",4390
1987,"New Brunswick","Total ($ M)","Expenditure",4664
1988,"New Brunswick","Total ($ M)","Expenditure",5016
1989,"New Brunswick","Total ($ M)","Expenditure",5418
1990,"New Brunswick","Total ($ M)","Expenditure",5923
1991,"New Brunswick","Total ($ M)","Expenditure",6016
1992,"New Brunswick","Total ($ M)","Expenditure",6380
1993,"New Brunswick","Total ($ M)","Expenditure",6297
1994,"New Brunswick","Total ($ M)","Expenditure",6267
1995,"New Brunswick","Total ($ M)","Expenditure",6464
1996,"New Brunswick","Total ($ M)","Expenditure",6393
1997,"New Brunswick","Total ($ M)","Expenditure",6101
1998,"New Brunswick","Total ($ M)","Expenditure",6345
1999,"New Brunswick","Total ($ M)","Expenditure",6684
2000,"New Brunswick","Total ($ M)","Expenditure",6719
2001,"New Brunswick","Total ($ M)","Expenditure",7086
2002,"New Brunswick","Total ($ M)","Expenditure",6930
2003,"New Brunswick","Total ($ M)","Expenditure",7253
2004,"New Brunswick","Total ($ M)","Expenditure",7258
2005,"New Brunswick","Total ($ M)","Expenditure",8090
2006,"New Brunswick","Total ($ M)","Expenditure",7975
2007,"New Brunswick","Total ($ M)","Expenditure",8483
2008,"New Brunswick","Total ($ M)","Expenditure",8894
2009,"New Brunswick","Total ($ M)","Expenditure",9419
2010,"New Brunswick","Total ($ M)","Expenditure",9844
2011,"New Brunswick","Total ($ M)","Expenditure",10023
2012,"New Brunswick","Total ($ M)","Expenditure",10040
2013,"New Brunswick","Total ($ M)","Expenditure",10052
2014,"New Brunswick","Total ($ M)","Expenditure",10115
2015,"New Brunswick","Total ($ M)","Expenditure",10400
2016,"New Brunswick","Total ($ M)","Expenditure",10807
2017,"New Brunswick","Total ($ M)","Expenditure",11484
2018,"New Brunswick","Total ($ M)","Expenditure",11897
2019,"New Brunswick","Total ($ M)","Expenditure",12726
2020,"New Brunswick","Total ($ M)","Expenditure",16844
2021,"New Brunswick","Total ($ M)","Expenditure",16059
2022,"New Brunswick","Total ($ M)","Expenditure",15511
1961,"Newfoundland and Labrador","Total ($ M)","Expenditure",168
1962,"Newfoundland and Labrador","Total ($ M)","Expenditure",189
1963,"Newfoundland and Labrador","Total ($ M)","Expenditure",189
1964,"Newfoundland and Labrador","Total ($ M)","Expenditure",198
1965,"Newfoundland and Labrador","Total ($ M)","Expenditure",233
1966,"Newfoundland and Labrador","Total ($ M)","Expenditure",255
1967,"Newfoundland and Labrador","Total ($ M)","Expenditure",301
1968,"Newfoundland and Labrador","Total ($ M)","Expenditure",329
1969,"Newfoundland and Labrador","Total ($ M)","Expenditure",383
1970,"Newfoundland and Labrador","Total ($ M)","Expenditure",424
1971,"Newfoundland and Labrador","Total ($ M)","Expenditure",501
1972,"Newfoundland and Labrador","Total ($ M)","Expenditure",579
1973,"Newfoundland and Labrador","Total ($ M)","Expenditure",664
1974,"Newfoundland and Labrador","Total ($ M)","Expenditure",903
1975,"Newfoundland and Labrador","Total ($ M)","Expenditure",1121
1976,"Newfoundland and Labrador","Total ($ M)","Expenditure",1157
1977,"Newfoundland and Labrador","Total ($ M)","Expenditure",1379
1978,"Newfoundland and Labrador","Total ($ M)","Expenditure",1581
1979,"Newfoundland and Labrador","Total ($ M)","Expenditure",1691
1980,"Newfoundland and Labrador","Total ($ M)","Expenditure",1952
1981,"Newfoundland and Labrador","Total ($ M)","Expenditure",2274
1982,"Newfoundland and Labrador","Total ($ M)","Expenditure",2635
1983,"Newfoundland and Labrador","Total ($ M)","Expenditure",2774
1984,"Newfoundland and Labrador","Total ($ M)","Expenditure",3073
1985,"Newfoundland and Labrador","Total ($ M)","Expenditure",3549
1986,"Newfoundland and Labrador","Total ($ M)","Expenditure",3635
1987,"Newfoundland and Labrador","Total ($ M)","Expenditure",3875
1988,"Newfoundland and Labrador","Total ($ M)","Expenditure",4244
1989,"Newfoundland and Labrador","Total ($ M)","Expenditure",4496
1990,"Newfoundland and Labrador","Total ($ M)","Expenditure",4998
1991,"Newfoundland and Labrador","Total ($ M)","Expenditure",5103
1992,"Newfoundland and Labrador","Total ($ M)","Expenditure",5445
1993,"Newfoundland and Labrador","Total ($ M)","Expenditure",5339
1994,"Newfoundland and Labrador","Total ($ M)","Expenditure",5339
1995,"Newfoundland and Labrador","Total ($ M)","Expenditure",5373
1996,"Newfoundland and Labrador","Total ($ M)","Expenditure",5405
1997,"Newfoundland and Labrador","Total ($ M)","Expenditure",5143
1998,"Newfoundland and Labrador","Total ($ M)","Expenditure",5549
1999,"Newfoundland and Labrador","Total ($ M)","Expenditure",5564
2000,"Newfoundland and Labrador","Total ($ M)","Expenditure",5294
2001,"Newfoundland and Labrador","Total ($ M)","Expenditure",5403
2002,"Newfoundland and Labrador","Total ($ M)","Expenditure",5223
2003,"Newfoundland and Labrador","Total ($ M)","Expenditure",5268
2004,"Newfoundland and Labrador","Total ($ M)","Expenditure",5148
2005,"Newfoundland and Labrador","Total ($ M)","Expenditure",7999
2006,"Newfoundland and Labrador","Total ($ M)","Expenditure",5858
2007,"Newfoundland and Labrador","Total ($ M)","Expenditure",7000
2008,"Newfoundland and Labrador","Total ($ M)","Expenditure",7846
2009,"Newfoundland and Labrador","Total ($ M)","Expenditure",7435
2010,"Newfoundland and Labrador","Total ($ M)","Expenditure",7587
2011,"Newfoundland and Labrador","Total ($ M)","Expenditure",7314
2012,"Newfoundland and Labrador","Total ($ M)","Expenditure",6822
2013,"Newfoundland and Labrador","Total ($ M)","Expenditure",6538
2014,"Newfoundland and Labrador","Total ($ M)","Expenditure",6748
2015,"Newfoundland and Labrador","Total ($ M)","Expenditure",6676
2016,"Newfoundland and Labrador","Total ($ M)","Expenditure",6874
2017,"Newfoundland and Labrador","Total ($ M)","Expenditure",7365
2018,"Newfoundland and Labrador","Total ($ M)","Expenditure",7001
2019,"Newfoundland and Labrador","Total ($ M)","Expenditure",7809
2020,"Newfoundland and Labrador","Total ($ M)","Expenditure",10987
2021,"Newfoundland and Labrador","Total ($ M)","Expenditure",10059
2022,"Newfoundland and Labrador","Total ($ M)","Expenditure",9573
1961,"Nova Scotia","Total ($ M)","Expenditure",416
1962,"Nova Scotia","Total ($ M)","Expenditure",435
1963,"Nova Scotia","Total ($ M)","Expenditure",441
1964,"Nova Scotia","Total ($ M)","Expenditure",464
1965,"Nova Scotia","Total ($ M)","Expenditure",492
1966,"Nova Scotia","Total ($ M)","Expenditure",567
1967,"Nova Scotia","Total ($ M)","Expenditure",662
1968,"Nova Scotia","Total ($ M)","Expenditure",754
1969,"Nova Scotia","Total ($ M)","Expenditure",821
1970,"Nova Scotia","Total ($ M)","Expenditure",839
1971,"Nova Scotia","Total ($ M)","Expenditure",948
1972,"Nova Scotia","Total ($ M)","Expenditure",1079
1973,"Nova Scotia","Total ($ M)","Expenditure",1224
1974,"Nova Scotia","Total ($ M)","Expenditure",1690
1975,"Nova Scotia","Total ($ M)","Expenditure",2150
1976,"Nova Scotia","Total ($ M)","Expenditure",2444
1977,"Nova Scotia","Total ($ M)","Expenditure",2845
1978,"Nova Scotia","Total ($ M)","Expenditure",3027
1979,"Nova Scotia","Total ($ M)","Expenditure",3342
1980,"Nova Scotia","Total ($ M)","Expenditure",4132
1981,"Nova Scotia","Total ($ M)","Expenditure",4681
1982,"Nova Scotia","Total ($ M)","Expenditure",4848
1983,"Nova Scotia","Total ($ M)","Expenditure",5037
1984,"Nova Scotia","Total ($ M)","Expenditure",5543
1985,"Nova Scotia","Total ($ M)","Expenditure",6064
1986,"Nova Scotia","Total ($ M)","Expenditure",6154
1987,"Nova Scotia","Total ($ M)","Expenditure",6522
1988,"Nova Scotia","Total ($ M)","Expenditure",7067
1989,"Nova Scotia","Total ($ M)","Expenditure",7417
1990,"Nova Scotia","Total ($ M)","Expenditure",8085
1991,"Nova Scotia","Total ($ M)","Expenditure",8306
1992,"Nova Scotia","Total ($ M)","Expenditure",8555
1993,"Nova Scotia","Total ($ M)","Expenditure",8782
1994,"Nova Scotia","Total ($ M)","Expenditure",9002
1995,"Nova Scotia","Total ($ M)","Expenditure",9201
1996,"Nova Scotia","Total ($ M)","Expenditure",8991
1997,"Nova Scotia","Total ($ M)","Expenditure",8713
1998,"Nova Scotia","Total ($ M)","Expenditure",8849
1999,"Nova Scotia","Total ($ M)","Expenditure",9206
2000,"Nova Scotia","Total ($ M)","Expenditure",9518
2001,"Nova Scotia","Total ($ M)","Expenditure",9921
2002,"Nova Scotia","Total ($ M)","Expenditure",9728
2003,"Nova Scotia","Total ($ M)","Expenditure",9989
2004,"Nova Scotia","Total ($ M)","Expenditure",10036
2005,"Nova Scotia","Total ($ M)","Expenditure",12179
2006,"Nova Scotia","Total ($ M)","Expenditure",11053
2007,"Nova Scotia","Total ($ M)","Expenditure",12282
2008,"Nova Scotia","Total ($ M)","Expenditure",13095
2009,"Nova Scotia","Total ($ M)","Expenditure",13123
2010,"Nova Scotia","Total ($ M)","Expenditure",13365
2011,"Nova Scotia","Total ($ M)","Expenditure",13717
2012,"Nova Scotia","Total ($ M)","Expenditure",14095
2013,"Nova Scotia","Total ($ M)","Expenditure",14191
2014,"Nova Scotia","Total ($ M)","Expenditure",14156
2015,"Nova Scotia","Total ($ M)","Expenditure",14492
2016,"Nova Scotia","Total ($ M)","Expenditure",14689
2017,"Nova Scotia","Total ($ M)","Expenditure",15431
2018,"Nova Scotia","Total ($ M)","Expenditure",16020
2019,"Nova Scotia","Total ($ M)","Expenditure",16917
2020,"Nova Scotia","Total ($ M)","Expenditure",21760
2021,"Nova Scotia","Total ($ M)","Expenditure",21156
2022,"Nova Scotia","Total ($ M)","Expenditure",20725
1961,"Ontario","Total ($ M)","Expenditure",2437
1962,"Ontario","Total ($ M)","Expenditure",2535
1963,"Ontario","Total ($ M)","Expenditure",2604
1964,"Ontario","Total ($ M)","Expenditure",2720
1965,"Ontario","Total ($ M)","Expenditure",2878
1966,"Ontario","Total ($ M)","Expenditure",3320
1967,"Ontario","Total ($ M)","Expenditure",3690
1968,"Ontario","Total ($ M)","Expenditure",4184
1969,"Ontario","Total ($ M)","Expenditure",4637
1970,"Ontario","Total ($ M)","Expenditure",5318
1971,"Ontario","Total ($ M)","Expenditure",5984
1972,"Ontario","Total ($ M)","Expenditure",6940
1973,"Ontario","Total ($ M)","Expenditure",7774
1974,"Ontario","Total ($ M)","Expenditure",9391
1975,"Ontario","Total ($ M)","Expenditure",11647
1976,"Ontario","Total ($ M)","Expenditure",13002
1977,"Ontario","Total ($ M)","Expenditure",14407
1978,"Ontario","Total ($ M)","Expenditure",15576
1979,"Ontario","Total ($ M)","Expenditure",16997
1980,"Ontario","Total ($ M)","Expenditure",19465
1981,"Ontario","Total ($ M)","Expenditure",22269
1982,"Ontario","Total ($ M)","Expenditure",25825
1983,"Ontario","Total ($ M)","Expenditure",28657
1984,"Ontario","Total ($ M)","Expenditure",31737
1985,"Ontario","Total ($ M)","Expenditure",35607
1986,"Ontario","Total ($ M)","Expenditure",36668
1987,"Ontario","Total ($ M)","Expenditure",39311
1988,"Ontario","Total ($ M)","Expenditure",42602
1989,"Ontario","Total ($ M)","Expenditure",46922
1990,"Ontario","Total ($ M)","Expenditure",52333
1991,"Ontario","Total ($ M)","Expenditure",56768
1992,"Ontario","Total ($ M)","Expenditure",58637
1993,"Ontario","Total ($ M)","Expenditure",61227
1994,"Ontario","Total ($ M)","Expenditure",61070
1995,"Ontario","Total ($ M)","Expenditure",63573
1996,"Ontario","Total ($ M)","Expenditure",61656
1997,"Ontario","Total ($ M)","Expenditure",60056
1998,"Ontario","Total ($ M)","Expenditure",61160
1999,"Ontario","Total ($ M)","Expenditure",63974
2000,"Ontario","Total ($ M)","Expenditure",67446
2001,"Ontario","Total ($ M)","Expenditure",69768
2002,"Ontario","Total ($ M)","Expenditure",71146
2003,"Ontario","Total ($ M)","Expenditure",75300
2004,"Ontario","Total ($ M)","Expenditure",76787
2005,"Ontario","Total ($ M)","Expenditure",82415
2006,"Ontario","Total ($ M)","Expenditure",85084
2007,"Ontario","Total ($ M)","Expenditure",95419
2008,"Ontario","Total ($ M)","Expenditure",99732
2009,"Ontario","Total ($ M)","Expenditure",106480
2010,"Ontario","Total ($ M)","Expenditure",117104
2011,"Ontario","Total ($ M)","Expenditure",116042
2012,"Ontario","Total ($ M)","Expenditure",117659
2013,"Ontario","Total ($ M)","Expenditure",119936
2014,"Ontario","Total ($ M)","Expenditure",119470
2015,"Ontario","Total ($ M)","Expenditure",123896
2016,"Ontario","Total ($ M)","Expenditure",128739
2017,"Ontario","Total ($ M)","Expenditure",136168
2018,"Ontario","Total ($ M)","Expenditure",141961
2019,"Ontario","Total ($ M)","Expenditure",151210
2020,"Ontario","Total ($ M)","Expenditure",234444
2021,"Ontario","Total ($ M)","Expenditure",212668
2022,"Ontario","Total ($ M)","Expenditure",191631
1961,"Prince Edward Island","Total ($ M)","Expenditure",50
1962,"Prince Edward Island","Total ($ M)","Expenditure",55
1963,"Prince Edward Island","Total ($ M)","Expenditure",58
1964,"Prince Edward Island","Total ($ M)","Expenditure",62
1965,"Prince Edward Island","Total ($ M)","Expenditure",67
1966,"Prince Edward Island","Total ($ M)","Expenditure",74
1967,"Prince Edward Island","Total ($ M)","Expenditure",87
1968,"Prince Edward Island","Total ($ M)","Expenditure",96
1969,"Prince Edward Island","Total ($ M)","Expenditure",109
1970,"Prince Edward Island","Total ($ M)","Expenditure",120
1971,"Prince Edward Island","Total ($ M)","Expenditure",138
1972,"Prince Edward Island","Total ($ M)","Expenditure",163
1973,"Prince Edward Island","Total ($ M)","Expenditure",180
1974,"Prince Edward Island","Total ($ M)","Expenditure",223
1975,"Prince Edward Island","Total ($ M)","Expenditure",295
1976,"Prince Edward Island","Total ($ M)","Expenditure",350
1977,"Prince Edward Island","Total ($ M)","Expenditure",391
1978,"Prince Edward Island","Total ($ M)","Expenditure",442
1979,"Prince Edward Island","Total ($ M)","Expenditure",458
1980,"Prince Edward Island","Total ($ M)","Expenditure",507
1981,"Prince Edward Island","Total ($ M)","Expenditure",542
1982,"Prince Edward Island","Total ($ M)","Expenditure",653
1983,"Prince Edward Island","Total ($ M)","Expenditure",683
1984,"Prince Edward Island","Total ($ M)","Expenditure",812
1985,"Prince Edward Island","Total ($ M)","Expenditure",887
1986,"Prince Edward Island","Total ($ M)","Expenditure",909
1987,"Prince Edward Island","Total ($ M)","Expenditure",934
1988,"Prince Edward Island","Total ($ M)","Expenditure",1020
1989,"Prince Edward Island","Total ($ M)","Expenditure",1096
1990,"Prince Edward Island","Total ($ M)","Expenditure",1217
1991,"Prince Edward Island","Total ($ M)","Expenditure",1211
1992,"Prince Edward Island","Total ($ M)","Expenditure",1232
1993,"Prince Edward Island","Total ($ M)","Expenditure",1221
1994,"Prince Edward Island","Total ($ M)","Expenditure",1256
1995,"Prince Edward Island","Total ($ M)","Expenditure",1294
1996,"Prince Edward Island","Total ($ M)","Expenditure",1236
1997,"Prince Edward Island","Total ($ M)","Expenditure",1283
1998,"Prince Edward Island","Total ($ M)","Expenditure",1302
1999,"Prince Edward Island","Total ($ M)","Expenditure",1424
2000,"Prince Edward Island","Total ($ M)","Expenditure",1444
2001,"Prince Edward Island","Total ($ M)","Expenditure",1573
2002,"Prince Edward Island","Total ($ M)","Expenditure",1483
2003,"Prince Edward Island","Total ($ M)","Expenditure",1523
2004,"Prince Edward Island","Total ($ M)","Expenditure",1517
2005,"Prince Edward Island","Total ($ M)","Expenditure",1684
2006,"Prince Edward Island","Total ($ M)","Expenditure",1703
2007,"Prince Edward Island","Total ($ M)","Expenditure",1855
2008,"Prince Edward Island","Total ($ M)","Expenditure",1981
2009,"Prince Edward Island","Total ($ M)","Expenditure",2130
2010,"Prince Edward Island","Total ($ M)","Expenditure",2198
2011,"Prince Edward Island","Total ($ M)","Expenditure",2152
2012,"Prince Edward Island","Total ($ M)","Expenditure",2129
2013,"Prince Edward Island","Total ($ M)","Expenditure",2204
2014,"Prince Edward Island","Total ($ M)","Expenditure",2137
2015,"Prince Edward Island","Total ($ M)","Expenditure",2191
2016,"Prince Edward Island","Total ($ M)","Expenditure",2323
2017,"Prince Edward Island","Total ($ M)","Expenditure",2549
2018,"Prince Edward Island","Total ($ M)","Expenditure",2643
2019,"Prince Edward Island","Total ($ M)","Expenditure",2893
2020,"Prince Edward Island","Total ($ M)","Expenditure",3815
2021,"Prince Edward Island","Total ($ M)","Expenditure",3618
2022,"Prince Edward Island","Total ($ M)","Expenditure",3589
1961,"Quebec","Total ($ M)","Expenditure",1449
